15:48:41 DEBUG : Logs will be stored at 'C:/Users/oscar/OneDrive/Documentos/UCM/5_QUINTO/SE/Practicas_SE/Practica4/sw/IDE.log'.
15:48:44 INFO  : Launching XSCT server: xsct.bat -n  -interactive C:\Users\oscar\OneDrive\Documentos\UCM\5_QUINTO\SE\Practicas_SE\Practica4\sw\temp_xsdb_launch_script.tcl
15:48:44 INFO  : Platform repository initialization has completed.
15:48:45 INFO  : Registering command handlers for Vitis TCF services
15:48:46 INFO  : XSCT server has started successfully.
15:48:46 INFO  : plnx-install-location is set to ''
15:48:46 INFO  : Successfully done setting XSCT server connection channel  
15:48:46 INFO  : Successfully done query RDI_DATADIR 
15:48:46 INFO  : Successfully done setting workspace for the tool. 
15:49:10 INFO  : Result from executing command 'getProjects': design_4_wrapper
15:49:10 INFO  : Result from executing command 'getPlatforms': 
15:49:10 WARN  : An unexpected exception occurred in the module 'platform project logging'
15:49:10 INFO  : Platform 'design_4_wrapper' is added to custom repositories.
15:49:11 INFO  : Platform 'design_4_wrapper' is added to custom repositories.
